date,cpaltt01usm659n,unemp,t,covid
1960-01-01,1.0344827,6.0999999,1,0
1960-02-01,1.7301039,5.6999998,2,0
1960-03-01,1.7301039,6.0999999,3,0
1960-04-01,1.7241379,5.1999998,4,0
1960-05-01,1.7241379,4.8000002,5,0
1960-06-01,1.7182131,5.8000002,6,0
1960-07-01,1.369863,5.5,7,0
1960-08-01,1.369863,5.1999998,8,0
1960-09-01,1.0238907,4.6999998,9,0
1960-10-01,1.3605442,5,10,0
1960-11-01,1.3605442,5.5999999,11,0
1960-12-01,1.3605442,6.4000001,12,0
1961-01-01,1.7064847,7.6999998,13,0
1961-02-01,1.3605442,8.1000004,14,0
1961-03-01,1.3605442,7.6999998,15,0
1961-04-01,1.0169492,7,16,0
1961-05-01,1.0169492,6.5999999,17,0
1961-06-01,.67567569,7.3000002,18,0
1961-07-01,1.3513514,6.9000001,19,0
1961-08-01,1.0135136,6.1999998,20,0
1961-09-01,1.3513514,5.8000002,21,0
1961-10-01,.67114097,5.5,22,0
1961-11-01,.67114097,5.5999999,23,0
1961-12-01,.67114097,5.8000002,24,0
1962-01-01,.67114097,6.6999998,25,0
1962-02-01,1.0067114,6.5,26,0
1962-03-01,1.0067114,6.1999998,27,0
1962-04-01,1.3422819,5.5,28,0
1962-05-01,1.3422819,5.0999999,29,0
1962-06-01,1.3422819,5.9000001,30,0
1962-07-01,1,5.3000002,31,0
1962-08-01,1.3377926,5.3000002,32,0
1962-09-01,1.3333334,4.9000001,33,0
1962-10-01,1.3333334,4.5,34,0
1962-11-01,1.3333334,5.3000002,35,0
1962-12-01,1.3333334,5.3000002,36,0
1963-01-01,1.3333334,6.5999999,37,0
1963-02-01,.99667776,6.9000001,38,0
1963-03-01,1.3289037,6.3000002,39,0
1963-04-01,.99337751,5.5999999,40,0
1963-05-01,.99337751,5.5,41,0
1963-06-01,1.3245033,6.1999998,42,0
1963-07-01,1.320132,5.5999999,43,0
1963-08-01,1.320132,5.1999998,44,0
1963-09-01,.9868421,4.8000002,45,0
1963-10-01,1.3157895,4.6999998,46,0
1963-11-01,1.3157895,5.3000002,47,0
1963-12-01,1.6447369,5.3000002,48,0
1964-01-01,1.6447369,6.4000001,49,0
1964-02-01,1.6447369,6.1999998,50,0
1964-03-01,1.3114754,5.9000001,51,0
1964-04-01,1.3114754,5.3000002,52,0
1964-05-01,1.3114754,4.8000002,53,0
1964-06-01,1.3071896,5.9000001,54,0
1964-07-01,1.3029315,4.9000001,55,0
1964-08-01,.97719872,4.8000002,56,0
1964-09-01,1.3029315,4.5,57,0
1964-10-01,.97402596,4.4000001,58,0
1964-11-01,1.2987013,4.5,59,0
1964-12-01,.97087377,4.6999998,60,0
1965-01-01,.97087377,5.5,61,0
1965-02-01,.97087377,5.6999998,62,0
1965-03-01,1.2944983,5.0999999,63,0
1965-04-01,1.6181229,4.6999998,64,0
1965-05-01,1.6181229,4.3000002,65,0
1965-06-01,1.9354838,5.3000002,66,0
1965-07-01,1.607717,4.5,67,0
1965-08-01,1.9354838,4.1999998,68,0
1965-09-01,1.607717,3.8,69,0
1965-10-01,1.9292605,3.5999999,70,0
1965-11-01,1.6025641,3.9000001,71,0
1965-12-01,1.9230769,3.7,72,0
1966-01-01,1.9230769,4.4000001,73,0
1966-02-01,2.5641026,4.1999998,74,0
1966-03-01,2.5559106,4,75,0
1966-04-01,2.8662419,3.5999999,76,0
1966-05-01,2.8662419,3.7,77,0
1966-06-01,2.5316455,4.5999999,78,0
1966-07-01,2.8481014,3.9000001,79,0
1966-08-01,3.4810126,3.5999999,80,0
1966-09-01,3.4810126,3.3,81,0
1966-10-01,3.7854888,3.2,82,0
1966-11-01,3.7854888,3.4000001,83,0
1966-12-01,3.4591196,3.5,84,0
1967-01-01,3.4591196,4.1999998,85,0
1967-02-01,2.8125,4.1999998,86,0
1967-03-01,2.8037384,3.9000001,87,0
1967-04-01,2.4767802,3.5,88,0
1967-05-01,2.7863777,3.2,89,0
1967-06-01,2.7777777,4.5999999,90,0
1967-07-01,2.7692308,4.0999999,91,0
1967-08-01,2.4464831,3.7,92,0
1967-09-01,2.7522936,3.7,93,0
1967-10-01,2.4316111,3.8,94,0
1967-11-01,2.7355623,3.7,95,0
1967-12-01,3.0395136,3.5,96,0
1968-01-01,3.6474164,4,97,0
1968-02-01,3.9513679,4.1999998,98,0
1968-03-01,3.939394,3.8,99,0
1968-04-01,3.9274924,3.2,100,0
1968-05-01,3.9156628,2.9000001,101,0
1968-06-01,4.2042041,4.5,102,0
1968-07-01,4.4910178,4,103,0
1968-08-01,4.477612,3.5,104,0
1968-09-01,4.4642859,3.3,105,0
1968-10-01,4.7477746,3.2,106,0
1968-11-01,4.7337279,3.3,107,0
1968-12-01,4.7197642,3.0999999,108,0
1969-01-01,4.3988271,3.7,109,0
1969-02-01,4.6783624,3.7,110,0
1969-03-01,5.2478132,3.5,111,0
1969-04-01,5.5232558,3.2,112,0
1969-05-01,5.5072465,2.9000001,113,0
1969-06-01,5.4755044,4.0999999,114,0
1969-07-01,5.4441261,3.8,115,0
1969-08-01,5.7142859,3.5,116,0
1969-09-01,5.6980057,3.7,117,0
1969-10-01,5.6657224,3.5,118,0
1969-11-01,5.9322033,3.3,119,0
1969-12-01,6.1971831,3.2,120,0
1970-01-01,6.1797752,4.1999998,121,0
1970-02-01,6.1452513,4.6999998,122,0
1970-03-01,5.8171744,4.5999999,123,0
1970-04-01,6.060606,4.3000002,124,0
1970-05-01,6.0439563,4.0999999,125,0
1970-06-01,6.0109291,5.5999999,126,0
1970-07-01,5.978261,5.3000002,127,0
1970-08-01,5.4054055,5,128,0
1970-09-01,5.6603775,5.1999998,129,0
1970-10-01,5.6300268,5.0999999,130,0
1970-11-01,5.5999999,5.5,131,0
1970-12-01,5.570292,5.5999999,132,0
1971-01-01,5.2910051,6.5999999,133,0
1971-02-01,5,6.5999999,134,0
1971-03-01,4.7120419,6.3000002,135,0
1971-04-01,4.1558442,5.6999998,136,0
1971-05-01,4.4041452,5.3000002,137,0
1971-06-01,4.6391754,6.5,138,0
1971-07-01,4.3589745,6.1999998,139,0
1971-08-01,4.6153846,5.9000001,140,0
1971-09-01,4.0816326,5.8000002,141,0
1971-10-01,3.8071065,5.4000001,142,0
1971-11-01,3.2828283,5.6999998,143,0
1971-12-01,3.2663317,5.5,144,0
1972-01-01,3.2663317,6.5,145,0
1972-02-01,3.5087719,6.4000001,146,0
1972-03-01,3.5,6.0999999,147,0
1972-04-01,3.4912717,5.5,148,0
1972-05-01,3.2258065,5.0999999,149,0
1972-06-01,2.7093596,6.1999998,150,0
1972-07-01,2.9484029,5.9000001,151,0
1972-08-01,2.9411764,5.5,152,0
1972-09-01,3.1862745,5.4000001,153,0
1972-10-01,3.4229829,5.0999999,154,0
1972-11-01,3.6674817,4.9000001,155,0
1972-12-01,3.4063261,4.8000002,156,0
1973-01-01,3.6496351,5.5,157,0
1973-02-01,3.8740921,5.5999999,158,0
1973-03-01,4.5893722,5.1999998,159,0
1973-04-01,5.0602407,4.8000002,160,0
1973-05-01,5.5288463,4.4000001,161,0
1973-06-01,5.995204,5.4000001,162,0
1973-07-01,5.7279234,5,163,0
1973-08-01,7.3809524,4.6999998,164,0
1973-09-01,7.3634205,4.6999998,165,0
1973-10-01,7.8014183,4.1999998,166,0
1973-11-01,8.2547169,4.5999999,167,0
1973-12-01,8.7058821,4.5999999,168,0
1974-01-01,9.3896713,5.6999998,169,0
1974-02-01,10.02331,5.8000002,170,0
1974-03-01,10.39261,5.3000002,171,0
1974-04-01,10.091743,4.8000002,172,0
1974-05-01,10.70615,4.5999999,173,0
1974-06-01,10.859729,5.8000002,174,0
1974-07-01,11.512415,5.6999998,175,0
1974-08-01,10.864745,5.3000002,176,0
1974-09-01,11.946902,5.6999998,177,0
1974-10-01,12.061403,5.5,178,0
1974-11-01,12.200436,6.1999998,179,0
1974-12-01,12.337663,6.6999998,180,0
1975-01-01,11.802575,9,181,0
1975-02-01,11.228813,9.1000004,182,0
1975-03-01,10.251046,9.1000004,183,0
1975-04-01,10.208333,8.6000004,184,0
1975-05-01,9.4650202,8.3000002,185,0
1975-06-01,9.3877554,9.1000004,186,0
1975-07-01,9.7165995,8.6999998,187,0
1975-08-01,8.6000004,8.1999998,188,0
1975-09-01,7.9051385,8.1000004,189,0
1975-10-01,7.436399,7.8000002,190,0
1975-11-01,7.3786407,7.8000002,191,0
1975-12-01,6.9364161,7.8000002,192,0
1976-01-01,6.7178502,8.8000002,193,0
1976-02-01,6.2857141,8.6999998,194,0
1976-03-01,6.0721064,8.1000004,195,0
1976-04-01,6.0491495,7.4000001,196,0
1976-05-01,6.2030077,6.8000002,197,0
1976-06-01,5.970149,8,198,0
1976-07-01,5.3505535,7.8000002,199,0
1976-08-01,5.709024,7.5999999,200,0
1976-09-01,5.4945054,7.4000001,201,0
1976-10-01,5.4644809,7.1999998,202,0
1976-11-01,4.8824592,7.4000001,203,0
1976-12-01,4.8648648,7.4000001,204,0
1977-01-01,5.2158275,8.3000002,205,0
1977-02-01,5.9139786,8.5,206,0
1977-03-01,6.4400716,7.9000001,207,0
1977-04-01,6.9518719,6.9000001,208,0
1977-05-01,6.7256637,6.4000001,209,0
1977-06-01,6.8661971,7.5,210,0
1977-07-01,6.8301225,7,211,0
1977-08-01,6.6202092,6.8000002,212,0
1977-09-01,6.5972223,6.5999999,213,0
1977-10-01,6.3903279,6.4000001,214,0
1977-11-01,6.7241378,6.5,215,0
1977-12-01,6.7010307,6,216,0
1978-01-01,6.8376069,7.0999999,217,0
1978-02-01,6.42978,6.9000001,218,0
1978-03-01,6.5546217,6.5999999,219,0
1978-04-01,6.5,5.8000002,220,0
1978-05-01,6.9651742,5.5,221,0
1978-06-01,7.4135089,6.1999998,222,0
1978-07-01,7.7049179,6.3000002,223,0
1978-08-01,7.8431373,5.9000001,224,0
1978-09-01,8.3061886,5.8000002,225,0
1978-10-01,8.9285717,5.4000001,226,0
1978-11-01,8.8852987,5.5999999,227,0
1978-12-01,9.0177135,5.6999998,228,0
1979-01-01,9.2799997,6.4000001,229,0
1979-02-01,9.8569155,6.4000001,230,0
1979-03-01,10.094637,6.0999999,231,0
1979-04-01,10.485133,5.5,232,0
1979-05-01,10.852714,5.1999998,233,0
1979-06-01,10.88957,6,234,0
1979-07-01,11.263318,5.9000001,235,0
1979-08-01,11.818182,5.9000001,236,0
1979-09-01,12.180451,5.6999998,237,0
1979-10-01,12.071535,5.5999999,238,0
1979-11-01,12.611276,5.5999999,239,0
1979-12-01,13.293943,5.6999998,240,0
1980-01-01,13.909224,6.9000001,241,0
1980-02-01,14.182344,6.8000002,242,0
1980-03-01,14.756447,6.5999999,243,0
1980-04-01,14.730878,6.6999998,244,0
1980-05-01,14.405595,7.0999999,245,0
1980-06-01,14.384509,7.8000002,246,0
1980-07-01,13.132695,7.9000001,247,0
1980-08-01,12.872629,7.5999999,248,0
1980-09-01,12.600536,7.1999998,249,0
1980-10-01,12.765958,7.0999999,250,0
1980-11-01,12.648221,7.0999999,251,0
1980-12-01,12.516297,6.9000001,252,0
1981-01-01,11.825192,8.1999998,253,0
1981-02-01,11.406844,8,254,0
1981-03-01,10.486892,7.6999998,255,0
1981-04-01,10,7,256,0
1981-05-01,9.7799511,7.0999999,257,0
1981-06-01,9.5525999,7.6999998,258,0
1981-07-01,10.761789,7.3000002,259,0
1981-08-01,10.804321,7.1999998,260,0
1981-09-01,10.952381,7.3000002,261,0
1981-10-01,10.141509,7.5,262,0
1981-11-01,9.5906429,7.9000001,263,0
1981-12-01,8.9223642,8.3000002,264,0
1982-01-01,8.3908043,9.3999996,265,0
1982-02-01,7.6222982,9.6000004,266,0
1982-03-01,6.7796612,9.5,267,0
1982-04-01,6.5095401,9.1999998,268,0
1982-05-01,6.6815143,9.1000004,269,0
1982-06-01,7.0640178,9.8000002,270,0
1982-07-01,6.4410481,9.8000002,271,0
1982-08-01,5.8504877,9.6000004,272,0
1982-09-01,5.0429187,9.6999998,273,0
1982-10-01,5.1391864,9.8999996,274,0
1982-11-01,4.5891142,10.4,275,0
1982-12-01,3.8297873,10.5,276,0
1983-01-01,3.7115588,11.4,277,0
1983-02-01,3.4883721,11.3,278,0
1983-03-01,3.5978837,10.8,279,0
1983-04-01,3.8988409,10,280,0
1983-05-01,3.5490606,9.8000002,281,0
1983-06-01,2.5773196,10.2,282,0
1983-07-01,2.4615386,9.3999996,283,0
1983-08-01,2.5588536,9.1999998,284,0
1983-09-01,2.8600612,8.8000002,285,0
1983-10-01,2.8513238,8.3999996,286,0
1983-11-01,3.2653062,8.1000004,287,0
1983-12-01,3.7909837,8,288,0
1984-01-01,4.1922293,8.8000002,289,0
1984-02-01,4.5965271,8.3999996,290,0
1984-03-01,4.800817,8.1000004,291,0
1984-04-01,4.5638947,7.5999999,292,0
1984-05-01,4.233871,7.1999998,293,0
1984-06-01,4.2211056,7.4000001,294,0
1984-07-01,4.2042041,7.5,295,0
1984-08-01,4.2914171,7.3000002,296,0
1984-09-01,4.2701092,7.0999999,297,0
1984-10-01,4.2574258,7,298,0
1984-11-01,4.0513835,6.9000001,299,0
1984-12-01,3.9486673,7,300,0
1985-01-01,3.5328753,8,301,0
1985-02-01,3.515625,7.8000002,302,0
1985-03-01,3.7037036,7.5,303,0
1985-04-01,3.6857419,7.0999999,304,0
1985-05-01,3.7717602,7,305,0
1985-06-01,3.7608485,7.5,306,0
1985-07-01,3.5542748,7.4000001,307,0
1985-08-01,3.3492823,6.9000001,308,0
1985-09-01,3.1428571,6.9000001,309,0
1985-10-01,3.2288699,6.8000002,310,0
1985-11-01,3.5137701,6.6999998,311,0
1985-12-01,3.7986705,6.6999998,312,0
1986-01-01,3.886256,7.3000002,313,0
1986-02-01,3.1132076,7.8000002,314,0
1986-03-01,2.2556391,7.5,315,0
1986-04-01,1.5902712,7,316,0
1986-05-01,1.4911463,7,317,0
1986-06-01,1.7657993,7.3000002,318,0
1986-07-01,1.5769944,7,319,0
1986-08-01,1.574074,6.6999998,320,0
1986-09-01,1.7543859,6.8000002,321,0
1986-10-01,1.4719411,6.5999999,322,0
1986-11-01,1.2844037,6.5999999,323,0
1986-12-01,1.0978957,6.3000002,324,0
1987-01-01,1.459854,7.3000002,325,0
1987-02-01,2.1043,7.1999998,326,0
1987-03-01,3.0330882,6.9000001,327,0
1987-04-01,3.7753222,6.1999998,328,0
1987-05-01,3.8567493,6.0999999,329,0
1987-06-01,3.6529679,6.3000002,330,0
1987-07-01,3.9269407,6.0999999,331,0
1987-08-01,4.2844119,5.8000002,332,0
1987-09-01,4.3557167,5.6999998,333,0
1987-10-01,4.5330915,5.6999998,334,0
1987-11-01,4.5289855,5.5999999,335,0
1987-12-01,4.4343891,5.4000001,336,0
1988-01-01,4.0467625,6.3000002,337,0
1988-02-01,3.9426522,6.1999998,338,0
1988-03-01,3.9250669,5.9000001,339,0
1988-04-01,3.9041703,5.3000002,340,0
1988-05-01,3.8903625,5.4000001,341,0
1988-06-01,3.9647577,5.5,342,0
1988-07-01,4.1300526,5.5,343,0
1988-08-01,4.0209789,5.4000001,344,0
1988-09-01,4.173913,5.1999998,345,0
1988-10-01,4.249783,5,346,0
1988-11-01,4.2461004,5.1999998,347,0
1988-12-01,4.4194107,5,348,0
1989-01-01,4.667243,6,349,0
1989-02-01,4.8275862,5.5999999,350,0
1989-03-01,4.9785409,5.1999998,351,0
1989-04-01,5.123826,5.0999999,352,0
1989-05-01,5.361702,5,353,0
1989-06-01,5.1694913,5.5,354,0
1989-07-01,4.9789028,5.3000002,355,0
1989-08-01,4.7058825,5.0999999,356,0
1989-09-01,4.3405676,5.0999999,357,0
1989-10-01,4.4925127,5,358,0
1989-11-01,4.6550293,5.1999998,359,0
1989-12-01,4.6473031,5.0999999,360,0
1990-01-01,5.202312,6,361,0
1990-02-01,5.2631578,5.9000001,362,0
1990-03-01,5.2330337,5.5,363,0
1990-04-01,4.7116165,5.3000002,364,0
1990-05-01,4.3618741,5.1999998,365,0
1990-06-01,4.6736503,5.4000001,366,0
1990-07-01,4.8231511,5.5999999,367,0
1990-08-01,5.6179776,5.5,368,0
1990-09-01,6.1599998,5.5999999,369,0
1990-10-01,6.2898088,5.5,370,0
1990-11-01,6.2748213,5.9000001,371,0
1990-12-01,6.1062651,6,372,0
1991-01-01,5.6514912,7.0999999,373,0
1991-02-01,5.3125,7.3000002,374,0
1991-03-01,4.8951049,7.1999998,375,0
1991-04-01,4.8875098,6.5,376,0
1991-05-01,4.9535604,6.6999998,377,0
1991-06-01,4.69592,7,378,0
1991-07-01,4.4478526,6.8000002,379,0
1991-08-01,3.799392,6.5999999,380,0
1991-09-01,3.3911078,6.5,381,0
1991-10-01,2.9213483,6.5,382,0
