DATE,JCXFE
1970-01-01,21.69
1970-04-01,21.935
1970-07-01,22.179
1970-10-01,22.491
1971-01-01,22.776
1971-04-01,23.036
1971-07-01,23.253
1971-10-01,23.385
1972-01-01,23.609
1972-04-01,23.769
1972-07-01,23.948
1972-10-01,24.098
1973-01-01,24.266
1973-04-01,24.597
1973-07-01,24.924
1973-10-01,25.271
1974-01-01,25.704
1974-04-01,26.343
1974-07-01,27.096
1974-10-01,27.758
1975-01-01,28.301
1975-04-01,28.732
1975-07-01,29.163
1975-10-01,29.638
1976-01-01,30.088
1976-04-01,30.449
1976-07-01,30.926
1976-10-01,31.41
1977-01-01,31.939
1977-04-01,32.427
1977-07-01,32.966
1977-10-01,33.445
1978-01-01,33.967
1978-04-01,34.553
1978-07-01,35.146
1978-10-01,35.777
1979-01-01,36.266
1979-04-01,37.063
1979-07-01,37.747
1979-10-01,38.534
1980-01-01,39.477
1980-04-01,40.36
1980-07-01,41.259
1980-10-01,42.264
1981-01-01,43.202
1981-04-01,44.018
1981-07-01,44.829
1981-10-01,45.626
1982-01-01,46.294
1982-04-01,46.92
1982-07-01,47.672
1982-10-01,48.336
1983-01-01,48.971
1983-04-01,49.346
1983-07-01,50.095
1983-10-01,50.496
1984-01-01,51.006
1984-04-01,51.603
1984-07-01,52.088
1984-10-01,52.458
1985-01-01,53.174
1985-04-01,53.635
1985-07-01,54.186
1985-10-01,54.575
1986-01-01,55.165
1986-04-01,55.542
1986-07-01,55.924
1986-10-01,56.378
1987-01-01,56.732
1987-04-01,57.282
1987-07-01,57.795
1987-10-01,58.382
1988-01-01,58.945
1988-04-01,59.66
1988-07-01,60.347
1988-10-01,61.022
1989-01-01,61.687
1989-04-01,62.249
1989-07-01,62.712
1989-10-01,63.286
1990-01-01,64.015
1990-04-01,64.73
1990-07-01,65.384
1990-10-01,65.933
1991-01-01,66.518
1991-04-01,67.031
1991-07-01,67.635
1991-10-01,68.167
1992-01-01,68.688
1992-04-01,69.173
1992-07-01,69.583
1992-10-01,70.093
1993-01-01,70.576
1993-04-01,71.112
1993-07-01,71.509
1993-10-01,71.877
1994-01-01,72.203
1994-04-01,72.689
1994-07-01,73.095
1994-10-01,73.467
1995-01-01,73.852
1995-04-01,74.29
1995-07-01,74.644
1995-10-01,75.019
1996-01-01,75.313
1996-04-01,75.672
1996-07-01,76.017
1996-10-01,76.45
1997-01-01,76.75
1997-04-01,77.15
1997-07-01,77.33
1997-10-01,77.575
1998-01-01,77.804
1998-04-01,78.042
1998-07-01,78.319
1998-10-01,78.568
1999-01-01,78.766
1999-04-01,79.039
1999-07-01,79.33
1999-10-01,79.703
2000-01-01,80.121
2000-04-01,80.4
2000-07-01,80.788
2000-10-01,81.189
2001-01-01,81.716
2001-04-01,82.025
2001-07-01,82.237
2001-10-01,82.634
2002-01-01,82.888
2002-04-01,83.344
2002-07-01,83.788
2002-10-01,84.086
2003-01-01,84.345
2003-04-01,84.665
2003-07-01,85.053
2003-10-01,85.434
2004-01-01,85.903
2004-04-01,86.395
2004-07-01,86.704
2004-10-01,87.174
2005-01-01,87.794
2005-04-01,88.229
2005-07-01,88.573
2005-10-01,89.165
2006-01-01,89.681
2006-04-01,90.396
2006-07-01,90.883
2006-10-01,91.274
2007-01-01,91.904
2007-04-01,92.286
2007-07-01,92.739
2007-10-01,93.381
2008-01-01,93.875
2008-04-01,94.269
2008-07-01,94.751
2008-10-01,94.676
2009-01-01,94.675
2009-04-01,95.046
2009-07-01,95.383
2009-10-01,95.977
2010-01-01,96.305
2010-04-01,96.565
2010-07-01,96.713
2010-10-01,97.019
2011-01-01,97.445
2011-04-01,98.015
2011-07-01,98.462
2011-10-01,98.813
2012-01-01,99.437
2012-04-01,99.848
2012-07-01,100.136
2012-10-01,100.579
2013-01-01,100.983
2013-04-01,101.291
2013-07-01,101.684
2013-10-01,102.181
2014-01-01,102.533
2014-04-01,103.04
2014-07-01,103.438
2014-10-01,103.735
2015-01-01,103.938
2015-04-01,104.384
2015-07-01,104.699
2015-10-01,104.926
2016-01-01,105.365
2016-04-01,105.937
2016-07-01,106.43
2016-10-01,106.818
2017-01-01,107.289
2017-04-01,107.721
2017-07-01,108.09
2017-10-01,108.639
2018-01-01,109.292
2018-04-01,109.943
2018-07-01,110.32
2018-10-01,110.829
2019-01-01,111.136
2019-04-01,111.783
2019-07-01,112.269
2019-10-01,112.647
2020-01-01,113.135
2020-04-01,112.919
2020-07-01,113.904
2020-10-01,114.255
2021-01-01,115.01
2021-04-01,116.731
2021-07-01,118.045
